Gene	CellType
Ncapd2	Ery
Fzd5	Ery
Isg20	Ery
Fen1	Ery
Mmel1	Ery
Tmx1	Ery
Schip1	Ery
Clcn2	Ery
Dclk2	Ery
Add2	Ery
Ubald2	Ery
Gria1	Ery
Ccnb1	Ery
Adcy6	Ery
Ppp2r5b	Ery
Steap3	Ery
Kcnn4	Ery
1700086O06Rik	Ery
Ptdss2	Ery
Cd59b	Ery
Mad2l1	Ery
Ckap2	Ery
Nacad	Ery
Ska1	Ery
Gclm	Ery
Ube2l6	Ery
Ppp2r4	Ery
Slc2a4	Ery
Cpeb3	Ery
Dcaf12	Ery
March2	Ery
Cdc6	Ery
Gm12839	Ery
Birc5	Ery
Omp	Ery
Fam76a	Ery
Cacna1g	Ery
Tpx2	Ery
Aars	Ery
Rsad2	Ery
Bpgm	Ery
Narf	Ery
Aplf	Ery
Slc25a42	Ery
Ulk1	Ery
Ccdc34	Ery
Pcyt1b	Ery
Tpm1	Ery
Mylk3	Ery
Abhd16a	Ery
Dmtn	Ery
Nuf2	Ery
Ctcflos	Ery
Slbp	Ery
Rangap1	Ery
Dok4	Ery
Smc4	Ery
Gm21949	Ery
Tfdp2	Ery
Tal1	Ery
Mpst	Ery
Dnajb4	Ery
Ghitm	Ery
Uba7	Ery
Top1	Ery
Casc5	Ery
Hbb-bt	Ery
Mzt1	Ery
Acp1	Ery
Asb6	Ery
Abcb9	Ery
Tmem86b	Ery
Aqp1	Ery
Hbq1a	Ery
Ifi27	Ery
Myo15	Ery
March5	Ery
Brpf3	Ery
Gstt1	Ery
Alad	Ery
Syngr1	Ery
Gm867	Ery
Acmsd	Ery
Ank1	Ery
Gpc4	Ery
Fbxo5	Ery
Tmem256	Ery
Fam104a	Ery
Smox	Ery
Kif15	Ery
2310042D19Rik	Ery
Gtpbp2	Ery
Tmem120b	Ery
Fam214b	Ery
Rhag	Ery
Spsb3	Ery
Glul	Ery
Aldh1a1	Ery
Mafk	Ery
1810053B23Rik	Ery
Suox	Ery
Kcnip2	Ery
Hagh	Ery
Nt5c3	Ery
Mgll	Ery
Ache	Ery
Paqr9	Ery
Ect2	Ery
Setd8	Ery
Ncaph2	Ery
Specc1	Ery
Abcg4	Ery
Pithd1	Ery
Slc14a1	Ery
Gm16938	Ery
Txnrd2	Ery
Cchcr1	Ery
Mcmdc2	Ery
Lrrc39	Ery
Aoc2	Ery
Trim2	Ery
Zdhhc24	Ery
Ppap2a	Ery
Fbxo34	Ery
Trak2	Ery
St3gal5	Ery
Ube2t	Ery
Icam5	Ery
Mkrn1	Ery
Fam109b	Ery
Stil	Ery
Ccdc77	Ery
Arf5	Ery
Racgap1	Ery
